xload,zload,max_mesh,decknodes,piernodes,time,min_d,max_d,mean_d,min_s,max_s,mean_s,shell-size,deck-size,pier-size
35, 9.65, 10.0, 735, 168, 2.356300516, -0.00010753494090266499, 8.22676e-05, -6.096348125023548e-07, -1.963230242238279, 2.43032466, 0.02241744834668139, 4.042824150348512, 5.0166176470588235, 1.7435895053380541
35, 9.65, 9.0, 735, 168, 2.317615655999999, -0.00010753494090266499, 8.22676e-05, -6.096348125023548e-07, -1.963230242238279, 2.43032466, 0.02241744834668139, 4.042824150348512, 5.0166176470588235, 1.7435895053380541
35, 9.65, 8.0, 735, 168, 2.3469883329999988, -0.00010753494090266499, 8.22676e-05, -6.096348125023548e-07, -1.963230242238279, 2.43032466, 0.02241744834668139, 4.042824150348512, 5.0166176470588235, 1.7435895053380541
35, 9.65, 7.0, 770, 168, 2.5140038460000014, -0.00018962333203515104, 9.70698e-05, -2.1852658331411162e-06, -3.1190525711956876, 5.0989770000000005, 0.026324574301240543, 3.9056424925522557, 4.777731092436975, 1.7435895053380541
35, 9.65, 6.0, 910, 168, 3.033123308999997, -0.0001939141550894301, 0.000110521, -1.890856424011822e-06, -3.1243010095272967, 5.115369800000001, 0.02019711997864053, 3.438887326482741, 4.013294117647059, 1.7435895053380541
35, 9.65, 5.0, 1015, 168, 3.3985855339999915, -0.00022924847231879674, 9.919e-05, -2.73765335537456e-06, -3.261778372038842, 5.3493974, 0.02486930135961924, 3.1560111109172255, 3.5832983193277315, 1.7435895053380541
35, 9.65, 4.0, 1221, 168, 4.228298906000006, -0.00023231305282384038, 9.72511e-05, -2.5818005036461343e-06, -3.271473480708037, 5.4037747000000005, 0.021876849877313937, 2.7176762344009444, 2.961197916666667, 1.7435895053380541
35, 9.65, 3.0, 1748, 504, 7.784354875000005, -0.0002689435898449834, 0.000109836, -3.1530822379066393e-06, -3.418825390557789, 6.4578997000000005, 0.020524928437312063, 1.746297981944382, 2.048828828828829, 0.8717947526690271
35, 9.65, 2.0, 2520, 540, 10.964353408000008, -0.00028150757152327376, 0.000110228, -3.380849089099171e-06, -3.563414943447772, 7.4713327, 0.018969119336934896, 1.2860511920924613, 1.4102108309218686, 0.8047336178483326
35, 9.65, 1.9, 2728, 960, 14.962283155999984, -0.00028397595945548555, 0.000109842, -3.461739938124627e-06, -3.6334782756898387, 7.5220748, 0.018583470657510072, 1.0777895283771326, 1.3005337399923753, 0.49816843009659556
35, 9.65, 1.8, 2790, 960, 15.612443228000018, -0.00028708186384992915, 0.000110236, -3.4841046241975146e-06, -3.654018663349473, 7.7427133999999995, 0.018559036379924104, 1.0599820632549752, 1.2709761549925485, 0.49816843009659556
35, 9.65, 1.7, 3015, 960, 15.62690089900002, -0.00028979729156574567, 0.000111335, -3.5075834071728487e-06, -4.312658845713017, 8.452459000000001, 0.01786329132931254, 1.0003716200248898, 1.1746900826446283, 0.49816843009659556
35, 9.65, 1.6, 3150, 960, 16.54372928700002, -0.00029222344628098286, 0.000110957, -3.5690300921233385e-06, -4.326626093007746, 8.8419562, 0.017561033596690045, 0.9677185404395074, 1.123616600790514, 0.49816843009659556
35, 9.65, 1.5, 3920, 960, 23.244224755999994, -0.00029303620061294264, 0.000111783, -3.560346022028316e-06, -4.202145848123322, 8.84943, 0.019699445533772664, 0.8153028703202851, 0.8996044303797469, 0.49816843009659556
35, 9.65, 1.4, 4233, 1020, 35.166897282000036, -0.0002948616217205679, 0.000112098, -3.5822941393127136e-06, -4.805194636214465, 9.1586771, 0.019423665384107256, 0.7554930072465963, 0.8320243902439025, 0.46495720142348923
35, 9.65, 1.3, 4437, 1428, 32.40894729600001, -0.0002957149275211236, 0.000111498, -3.600992556248642e-06, -4.81589470465382, 9.1665859, 0.01888615498912306, 0.6817863723932682, 0.7933255813953489, 0.3487179010676107
35, 9.65, 1.2, 5076, 1512, 34.517866553999966, -0.0002987944460091775, 0.000111765, -3.621256508048111e-06, -4.836438839500917, 9.8938969, 0.01861210300136039, 0.6053292772679597, 0.6920876445526476, 0.326923032250885
35, 9.65, 1.1, 5757, 1512, 35.39285058000007, -0.0003005022570746811, 0.000112186, -3.654242013194398e-06, -5.4111851240088225, 9.9296396, 0.01723764229578211, 0.5484100024575896, 0.6091607142857143, 0.326923032250885
35, 9.65, 1.0, 6555, 1512, 49.37959480399991, -0.0003024397235026541, 0.000111915, -3.6738142020721638e-06, -5.781814457063561, 10.6389454, 0.017049589820389097, 0.4941229517092625, 0.5343515037593985, 0.326923032250885
35, 9.65, 0.9, 7502, 2052, 63.69149899700005, -0.0003041223773486859, 0.000112149, -3.694788112763095e-06, -5.877804448016447, 10.768384399999999, 0.016776523690546174, 0.4181040360616837, 0.46602459016393444, 0.2461538125183135
35, 9.65, 0.89, 7688, 2052, 66.93336744999999, -0.0003051710295888174, 0.000112225, -3.7009024359027296e-06, -5.872127306501587, 11.0323445, 0.01680506455198616, 0.41008632270117984, 0.4546581367453019, 0.2461538125183135
35, 9.65, 0.88, 7688, 2052, 71.08770847500011, -0.0003051710295888174, 0.000112225, -3.7009024359027296e-06, -5.872127306501587, 11.0323445, 0.01680506455198616, 0.41008632270117984, 0.4546581367453019, 0.2461538125183135
35, 9.65, 0.87, 7936, 2052, 67.50513808699998, -0.0003051878369144984, 0.000112413, -3.6986162477246306e-06, -5.872171488562599, 11.0325033, 0.016712411703554537, 0.39986244789387554, 0.44033819543048924, 0.2461538125183135
35, 9.65, 0.86, 7936, 2052, 69.29381413500005, -0.0003051878369144984, 0.000112413, -3.6986162477246306e-06, -5.872171488562599, 11.0325033, 0.016712411703554537, 0.39986244789387554, 0.44033819543048924, 0.2461538125183135
35, 9.65, 0.85, 7936, 2052, 72.03410358999986, -0.0003051878369144984, 0.000112413, -3.6986162477246306e-06, -5.872171488562599, 11.0325033, 0.016712411703554537, 0.39986244789387554, 0.44033819543048924, 0.2461538125183135
35, 9.65, 0.84, 7936, 2052, 65.166957207, -0.0003051878369144984, 0.000112413, -3.6986162477246306e-06, -5.872171488562599, 11.0325033, 0.016712411703554537, 0.39986244789387554, 0.44033819543048924, 0.2461538125183135
35, 9.65, 0.83, 7998, 2052, 62.75709336099999, -0.00030543985251815363, 0.000112347, -3.7090540148626544e-06, -5.874881625266303, 11.381575699999999, 0.016772879935035536, 0.3973856394737368, 0.4368980532786885, 0.2461538125183135
