xload,zload,max_mesh,decknodes,piernodes,time,min_d,max_d,mean_d,min_s,max_s,mean_s,shell-size,deck-size,pier-size
28.425, -12.600000000000001, 10.0, 714, 168, 7.819757554000001, -1.17814, 0.10633200079173746, -0.03743982277690427, -8727.256785175, 8960.629, -77.9477162977371, 4.1281157990900414, 5.168636363636364, 1.7435895053380541
28.425, -12.600000000000001, 9.0, 714, 168, 7.716275154999998, -1.17814, 0.10633200079173746, -0.03743982277690427, -8727.256785175, 8960.629, -77.9477162977371, 4.1281157990900414, 5.168636363636364, 1.7435895053380541
28.425, -12.600000000000001, 8.0, 714, 168, 7.537969916999998, -1.17814, 0.10633200079173746, -0.03743982277690427, -8727.256785175, 8960.629, -77.9477162977371, 4.1281157990900414, 5.168636363636364, 1.7435895053380541
28.425, -12.600000000000001, 7.0, 714, 168, 7.960921427000002, -1.17814, 0.10633200079173746, -0.03743982277690427, -8727.256785175, 8960.629, -77.9477162977371, 4.1281157990900414, 5.168636363636364, 1.7435895053380541
28.425, -12.600000000000001, 6.0, 884, 168, 11.647451673000006, -1.18328, 0.11032354392479501, -0.0371244747958376, -10143.454388046159, 7531.164699999999, -81.24081168890031, 3.5161309771225153, 4.134909090909091, 1.7435895053380541
28.425, -12.600000000000001, 5.0, 952, 168, 12.678429467, -1.18347, 0.1150153936457026, -0.03687828596287605, -10140.744972220005, 7527.19, -80.20503061941244, 3.3192992175889393, 3.828619528619529, 1.7435895053380541
28.425, -12.600000000000001, 4.0, 1221, 168, 20.968477393, -1.18069, 0.12181257090281478, -0.03674081842151021, -10836.205636623574, 7834.625100000001, -66.64909838855172, 2.7176762344009444, 2.961197916666667, 1.7435895053380541
28.425, -12.600000000000001, 3.0, 1702, 504, 61.353161562, -1.19746, 0.11031922579429264, -0.03679356599536857, -10715.057994095803, 8999.488500000001, -62.25092458402572, 1.7820827766563572, 2.1057407407407407, 0.8717947526690271
28.425, -12.600000000000001, 2.0, 2520, 540, 101.81707539799999, -1.20001, 0.10938616737891212, -0.03677620101606204, -10941.14330340592, 9003.7545, -62.019143668782924, 1.2860511920924613, 1.4102108309218686, 0.8047336178483326
28.425, -12.600000000000001, 1.9, 2728, 960, 179.40074289499995, -1.20395, 0.1089473996072141, -0.036715358382729706, -10911.498640317099, 9195.629, -62.66475264138941, 1.0777895283771326, 1.3005337399923753, 0.49816843009659556
28.425, -12.600000000000001, 1.8, 2728, 960, 181.22920120700007, -1.20395, 0.1089473996072141, -0.036715358382729706, -10911.498640317099, 9195.629, -62.66475264138941, 1.0777895283771326, 1.3005337399923753, 0.49816843009659556
28.425, -12.600000000000001, 1.7, 2948, 960, 193.93686455399995, -1.20412, 0.10887726873349446, -0.03671178718755638, -11033.099812513821, 9165.996500000003, -62.61318112098998, 1.0175386837070641, 1.2020084566596194, 0.49816843009659556
28.425, -12.600000000000001, 1.6, 3036, 960, 199.8240091480002, -1.20412, 0.10793772602607468, -0.036702168517616186, -11032.954812513823, 9165.91, -62.65650822112172, 0.9952832598009584, 1.166655266757866, 0.49816843009659556
28.425, -12.600000000000001, 1.5, 3920, 960, 301.53803449, -1.20517, 0.10808072784016147, -0.03666871255776479, -11257.478647713913, 9346.088000000002, -62.159129264692574, 0.8153028703202851, 0.8996044303797469, 0.49816843009659556
28.425, -12.600000000000001, 1.4, 4182, 1020, 337.8985736929999, -1.2061, 0.10790852716376431, -0.03669627117743079, -11193.264981046777, 9329.631, -62.26447740637777, 0.7628564868493896, 0.8422962962962963, 0.46495720142348923
28.425, -12.600000000000001, 1.3, 4437, 1428, 303.474443609, -1.20622, 0.1078640658414301, -0.03669151265891462, -11475.672407227557, 9348.8075, -62.052907654280524, 0.6817863723932682, 0.7933255813953489, 0.3487179010676107
28.425, -12.600000000000001, 1.2, 4982, 1512, 419.5881726829998, -1.20614, 0.10859052539334008, -0.03669764631036869, -11755.015056643218, 9331.216999999999, -61.85017331761547, 0.6141641207685749, 0.7053970223325062, 0.326923032250885
28.425, -12.600000000000001, 1.1, 5656, 1512, 492.5596384219998, -1.20636, 0.10821415851245102, -0.03670964475015751, -12028.46841350718, 9335.369999999999, -61.620121634681716, 0.5562043458694371, 0.6202363636363637, 0.326923032250885
28.425, -12.600000000000001, 1.0, 6384, 1512, 647.850650675, -1.20515, 0.10814067996163725, -0.03670720308611952, -12261.52785446749, 9362.876999999999, -61.33359779387806, 0.5048966297945244, 0.5488817377312952, 0.326923032250885
28.425, -12.600000000000001, 0.9, 7381, 2052, 933.23660023, -1.20574, 0.10906685054823553, -0.03667462325179492, -12309.891680992483, 9321.858, -61.95274316478231, 0.4235339586079393, 0.47379166666666667, 0.2461538125183135
28.425, -12.600000000000001, 0.89, 7503, 2052, 977.8551892159994, -1.20574, 0.1090749621265224, -0.03667288779621979, -12309.840016698645, 9321.8375, -62.023866085436524, 0.4181040360616837, 0.46602459016393444, 0.2461538125183135
28.425, -12.600000000000001, 0.88, 7503, 2052, 975.1867032269993, -1.20574, 0.1090749621265224, -0.03667288779621979, -12309.840016698645, 9321.8375, -62.023866085436524, 0.4181040360616837, 0.46602459016393444, 0.2461538125183135
