sensortype,sensorlabel,xpostruck,inflinedata
accelarations,A4,99.75,0.0245270978496415
accelarations,A5,10.5,-1.47641273545602e-05
accelarations,A5,16.875,-7.93298883147389e-06
accelarations,A5,24.525,5.644274045673e-06
accelarations,A5,32.175,-9.52492082013728e-06
accelarations,A5,39.825,7.30788464744196e-06
accelarations,A5,47.475,2.90381730288293e-06
accelarations,A5,55.125,-5.53425570928249e-07
accelarations,A5,62.775,7.0945157526239e-06
accelarations,A5,70.425,1.40863787375392e-06
accelarations,A5,78.075,-6.98949824970782e-06
accelarations,A5,85.725,-1.51408568094668e-05
accelarations,A5,93.375,-1.33522253709068e-06
accelarations,A5,99.75,-1.64110685114175e-05
accelarations,A6,10.5,-0.000167744624104017
accelarations,A6,16.875,0.000237481246874478
accelarations,A6,24.525,0.000149833305550925
accelarations,A6,32.175,7.42923820636767e-05
accelarations,A6,39.825,3.850641773629e-05
accelarations,A6,47.475,-9.04334055675941e-05
accelarations,A6,55.125,-0.000228474745790966
accelarations,A6,62.775,-0.000222873812302049
accelarations,A6,70.425,-0.000121058139534884
accelarations,A6,78.075,-7.57426237706294e-05
accelarations,A6,85.725,-0.000252452075345891
accelarations,A6,93.375,7.93732288714786e-05
accelarations,A6,99.75,-1.99566594432417e-05
accelarations,A7,10.5,2.92098683113855e-05
accelarations,A7,16.875,-6.47607934655772e-06
accelarations,A7,24.525,1.01066844474083e-05
accelarations,A7,32.175,2.55875979329896e-05
accelarations,A7,39.825,-5.75095849307902e-07
accelarations,A7,47.475,-1.15569261543587e-05
accelarations,A7,55.125,-1.12568761460249e-05
accelarations,A7,62.775,2.04117352892152e-05
accelarations,A7,70.425,1.97923588039873e-05
accelarations,A7,78.075,2.64694115685947e-05
accelarations,A7,85.725,-1.08184697449573e-05
accelarations,A7,93.375,-4.01583597266203e-05
accelarations,A7,99.75,-2.93648941490252e-05
accelarations,A8,10.5,-9.84814135689281e-05
accelarations,A8,16.875,-8.88614769128187e-05
accelarations,A8,24.525,-2.00350058343057e-05
accelarations,A8,32.175,-2.1365227537923e-05
accelarations,A8,39.825,-4.79079846641107e-06
accelarations,A8,47.475,-6.16102683780628e-05
accelarations,A8,55.125,-5.98183030505082e-05
accelarations,A8,62.775,-3.56826137689615e-05
accelarations,A8,70.425,-2.21661129568106e-05
accelarations,A8,78.075,-4.39389898316386e-05
accelarations,A8,85.725,-5.49258209701615e-05
accelarations,A8,93.375,-7.86997832972161e-05
accelarations,A8,99.75,-0.000117199533255543
accelarations,A9,10.5,1.43007167861328e-05
