sensortype,sensorlabel,xpostruck,infline1,infline2
strains,B1,1,-0.0483286129375,-0.1623977435
strains,B1,2,-0.198891531,-0.5970156269375
strains,B1,3,-0.3630380485625,-1.156604685
strains,B1,4,-0.5061650174375,-1.70520278
strains,B1,5,-0.70512662425,-2.376074920625
strains,B1,6,-0.9947831185,-3.35197813
strains,B1,7,-1.320783905,-4.4478973925
strains,B1,8,-1.6690438,-5.61677308125
strains,B1,9,-1.996172025,-6.713829125625
strains,B1,10,-2.1963077875,-7.3823809875
strains,B1,11,-2.2563236025,-7.5886055375
strains,B1,12,-2.1769202175,-7.33415344375
strains,B1,13,-1.964606885,-6.676657946875
strains,B1,14,-1.671909115,-5.692298955
strains,B1,15,-1.311689655,-4.48309089
strains,B1,16,-0.9439534309375,-3.2034958325
strains,B1,17,-0.6061036480625,-1.977469640625
strains,B1,18,-0.3225826578125,-1.0568544821875
strains,B1,19,-0.12118413531875,-0.402989366925
strains,B1,20,0.0152625018237001,0.00463806346250037
strains,B1,21,0.0792113104062501,0.239952060225
strains,B1,22,0.10933202271875,0.357631794500001
strains,B1,23,0.11883395541875,0.383933950225001
strains,B1,24,0.11583051754375,0.372299541687501
strains,B1,25,0.10590333546875,0.339906418700001
strains,B1,26,0.0926513645000001,0.297837312180001
strains,B1,27,0.0781703183050001,0.251039570225
strains,B1,28,0.0636468560181251,0.2053101376375
strains,B1,29,0.0497478448750001,0.1612762217625
strains,B1,30,0.0364936938025,0.1201294184375
strains,B1,31,0.024625060836875,0.0827983064437502
strains,B1,32,0.014733143786875,0.0501105870075001
strains,B1,33,0.00633173049500001,0.02209263954375
strains,B1,34,-0.0007336179251625,-0.003066149244375
strains,B1,35,-0.00691711356812501,-0.022158043335625
strains,B1,36,-0.011599929083125,-0.0365446619412501
strains,B1,37,-0.0141993299230313,-0.0460825666212501
strains,B1,38,-0.015369237275375,-0.0511095839925001
strains,B1,39,-0.0153389250703125,-0.0516817740575001
strains,B1,40,-0.0144298521315625,-0.0492693221037501
strains,B1,41,-0.012940819964375,-0.0445661629600001
strains,B1,42,-0.011107232565625,-0.0386016750087501
strains,B1,43,-0.00911837332625001,-0.0320045606787501
strains,B1,44,-0.00711652520843751,-0.02509126548
strains,B1,45,-0.00519863847781251,-0.018646074959375
strains,B1,46,-0.0034508235465625,-0.01266509597
strains,B1,47,-0.0019702378218125,-0.00730422327375001
strains,B1,48,-0.000784150030375001,-0.00325700546575001
strains,B1,49,-1.8754690475003e-06,-0.000186191650975001
strains,B1,50,0.00047590795,0.0016581882999375
strains,B1,51,0.000727884663337501,0.0025773614435625
strains,B1,52,0.000778592885087501,0.0028851030300375
strains,B1,53,0.000713206169962501,0.002745460841025
strains,B1,54,0.000538980408940626,0.0022737350049375
strains,B1,55,0.0003093967714,0.00157629599109375
strains,B1,56,5.80258686300003e-05,0.000765580949312501
strains,B1,57,-0.00017893557079375,-4.59809163624994e-05
strains,B1,58,-0.0003720092720625,-0.0007501914071875
strains,B1,59,-0.00049963085625,-0.001260265073375
strains,B1,60,-0.0005503390783125,-0.00152408081625
strains,B1,61,-0.0005171154831875,-0.001423400946125
strains,B1,62,-0.000395744637625,-0.0011363683974375
strains,B1,63,-0.00018981627789375,-0.0005783619693625
strains,B1,64,0.000115643338125,0.0002516989049375
strains,B1,65,0.0004331276063125,0.001258821529
strains,B1,66,0.0007514356514375,0.002346124591375
strains,B1,67,0.001031965191125,0.003288751239875
strains,B1,68,0.001245368587125,0.003982671992125
strains,B1,69,0.001382831892125,0.004416674759375
strains,B1,70,0.001437462788,0.004588998311875
strains,B1,71,0.0014090728479375,0.004526241766875
strains,B1,72,0.001321805435875,0.004269438251875
strains,B1,73,0.0011887568895625,0.0038608666775
strains,B1,74,0.001023648002875,0.003343916263625
strains,B1,75,0.00082728230675,0.002756066530125
strains,B1,76,0.000632439588125,0.00210692093525
strains,B1,77,0.0004366703140625,0.00145009506325
strains,B1,78,0.00024356391075,0.0008499867775
strains,B1,79,6.885747723125e-05,0.000304753875375
strains,B1,80,-8.03062174450001e-05,-0.0001713275449875
strains,B1,81,-0.0002032427532,-0.000598814222
strains,B1,82,-0.0002964366888125,-0.000941918107437501
strains,B1,83,-0.000363843134875,-0.0011660025725625
strains,B1,84,-0.0004059912399375,-0.0013081998680625
strains,B1,85,-0.0004242482555625,-0.00137265379775
strains,B1,86,-0.000420954704875,-0.001366670903125
strains,B1,87,-0.0003997062420625,-0.0013017030864375
strains,B1,88,-0.0003641857265,-0.0011896118013125
strains,B1,89,-0.0003181492074375,-0.0010426228941875
strains,B1,90,-0.0002650853567375,-0.0008720543465
strains,B1,91,-0.000205145226275,-0.00068760305275
strains,B1,92,-0.0001472562849,-0.000498125006875
strains,B1,93,-9.12506628625e-05,-0.0003135140969375
strains,B1,94,-3.956982325125e-05,-0.0001298237773825
strains,B1,95,9.48505215749999e-06,1.964423090125e-05
strains,B1,96,4.945978745625e-05,0.0001461744731875
strains,B1,97,8.22610604375e-05,0.0002561230039375
strains,B1,98,0.0001042414234875,0.000331264232625
strains,B1,99,0.0001184121002,0.0003858375100625
strains,B1,100,0.000124413837125,0.0004075765015625
strains,B1,101,0.0001232248887,0.0004054726779375
strains,B1,102,0.00011571076575,0.0003823337329375
strains,B1,103,0.000101981409125,0.00034129905075
strains,B1,104,8.7338578775e-05,0.000294608493375
strains,B1,105,7.207534626875e-05,0.000244023293125
strains,B1,106,5.54937591375e-05,0.00019033530325
strains,B1,107,3.6167235025e-05,0.00012972104664375
strains,B1,108,1.8925224825e-05,7.607556931875e-05
strains,B1,109,8.72358012625e-06,3.75855638e-05
strains,B1,110,2.69918544875e-06,1.12777714175e-05
strains,B1,111,0,0
strains,B1,112,0,0
strains,B1,113,0,0
strains,B1,114,0,0
strains,B1,115,0,0
strains,B1,116,0,0
strains,B2,1,0.112133701590625,0.363399516375
strains,B2,2,0.4678681961,1.34940191163125
strains,B2,3,0.88580989505,2.705182325375
strains,B2,4,1.3153841737625,4.288844027
strains,B2,5,1.95715666825,6.3993495524375
strains,B2,6,2.89824837975,9.4984188749375
strains,B2,7,3.8549825906875,12.6330245335
strains,B2,8,4.6075477064375,15.0532018855
strains,B2,9,5.4418677143125,17.76009752875
strains,B2,10,6.253358571875,20.44013059125
strains,B2,11,6.7320682543125,22.1335305575
strains,B2,12,6.6177983988125,21.852200604375
strains,B2,13,5.93308204475,19.75482270375
strains,B2,14,4.8548834880625,16.132428623625
strains,B2,15,3.561366010375,11.8135921884375
strains,B2,16,2.41738980575,7.93820956425
strains,B2,17,1.49059498348125,4.7022433885
strains,B2,18,0.7896008595,2.478464686
strains,B2,19,0.335492379575,1.0276804915875
strains,B2,20,0.05380789886425,0.19793480207
strains,B2,21,-0.063897971568125,-0.2375528792875
strains,B2,22,-0.11681905783125,-0.443212266825
strains,B2,23,-0.13571143996875,-0.4959106702125
strains,B2,24,-0.1354327,-0.48957896480625
strains,B2,25,-0.12359771926875,-0.44668805843125
strains,B2,26,-0.105416227875625,-0.3829037360125
strains,B2,27,-0.084758577255625,-0.3091219680375
strains,B2,28,-0.064551433991875,-0.23830361663125
strains,B2,29,-0.046478324285,-0.1742125166125
strains,B2,30,-0.030568679900625,-0.1186877617625
strains,B2,31,-0.0186464895525,-0.072879992651875
strains,B2,32,-0.00976416115725,-0.0388252934325
strains,B2,33,-0.004825404213625,-0.018471296926875
strains,B2,34,-0.003717739697125,-0.01267102409525
strains,B2,35,-0.005897723844375,-0.0159806869575875
strains,B2,36,-0.0092511049350875,-0.023951377793375
strains,B2,37,-0.011981755462375,-0.031864255533125
strains,B2,38,-0.013509058780125,-0.037323868955375
strains,B2,39,-0.013774676128625,-0.03905858072825
strains,B2,40,-0.01306194609975,-0.038178791467875
strains,B2,41,-0.011684277460875,-0.035163692877125
strains,B2,42,-0.0098978927210375,-0.03089215619125
strains,B2,43,-0.007921488169375,-0.0258689896475
strains,B2,44,-0.00592918663463125,-0.020373607583625
strains,B2,45,-0.0040489311863625,-0.015090616414875
strains,B2,46,-0.0024020261027775,-0.0100945375668125
strains,B2,47,-0.00110793640999875,-0.00558126682070875
strains,B2,48,-0.00024512614641625,-0.0021908412241125
strains,B2,49,0.0001864399844125,0.0003364920876625
strains,B2,50,0.00028827676585375,0.001793073417525
strains,B2,51,0.00016976365335625,0.0024931228275
strains,B2,52,-1.38444699489999e-05,0.0027117971845
strains,B2,53,-0.000220261381346875,0.002596701944125
strains,B2,54,-0.000375173657925281,0.0022405058709925
strains,B2,55,-0.00048941746763125,0.001713222492175
strains,B2,56,-0.00056450092976875,0.00108911082627875
strains,B2,57,-0.00059698468061875,0.00044894099573875
strains,B2,58,-0.0005945023063,-0.0001255775526175
strains,B2,59,-0.00055413867664375,-0.00056535737566875
strains,B2,60,-0.00047809572920625,-0.00082909814793125
strains,B2,61,-0.0003687186644125,-0.0008308670380125
strains,B2,62,-0.00022855537226425,-0.00069233384695625
strains,B2,63,-6.3252106251875e-05,-0.0003456388497575
strains,B2,64,0.0001324910489125,0.00021133999408125
strains,B2,65,0.000315448828775,0.00090835633725
strains,B2,66,0.00048721756378375,0.0016689093673875
strains,B2,67,0.00063387046147375,0.0023246169593625
strains,B2,68,0.00074484730789375,0.0027986763445625
strains,B2,69,0.00081791207354875,0.0030839616205
strains,B2,70,0.00084898760814125,0.003182394407125
strains,B2,71,0.00083657974284,0.0031163988681875
strains,B2,72,0.00079196066201875,0.0029179761534375
strains,B2,73,0.00072109877146875,0.0026188471135
strains,B2,74,0.00063057836345,0.0022507917768375
strains,B2,75,0.000519480668025,0.0018397240716875
strains,B2,76,0.000407369209925,0.0013925690168375
strains,B2,77,0.000292454726975,0.000946267316575
strains,B2,78,0.0001771627659925,0.0005433859631
strains,B2,79,7.0436363578125e-05,0.00018169188495
strains,B2,80,-2.3934967538625e-05,-0.00013146835205875
strains,B2,81,-0.00010372293260375,-0.00041131686369375
strains,B2,82,-0.000165196815575025,-0.0006353857188375
strains,B2,83,-0.00021009398398875,-0.00078138108635
strains,B2,84,-0.00023801207000125,-0.00087343853736875
strains,B2,85,-0.0002498207294,-0.00091423495736875
strains,B2,86,-0.00024752147470625,-0.00090909452925625
strains,B2,87,-0.000233687790325,-0.00086580186568125
strains,B2,88,-0.00021101400197875,-0.0007922490290875
strains,B2,89,-0.000182121712755,-0.0006964884768125
strains,B2,90,-0.000149339095985375,-0.00058590149828125
strains,B2,91,-0.000113262089945,-0.00046667809934375
strains,B2,92,-7.8754884455e-05,-0.0003443573618375
strains,B2,93,-4.573075745775e-05,-0.00022525978749
strains,B2,94,-1.5780874805875e-05,-0.00010693537978625
strains,B2,95,1.17229667445e-05,-1.0772873710875e-05
strains,B2,96,3.332076618e-05,7.014471604375e-05
strains,B2,97,5.0469954391875e-05,0.000139571352035
strains,B2,98,6.172361277e-05,0.00018621876853125
strains,B2,99,6.89773616075e-05,0.00021959652635
strains,B2,100,7.2060527896875e-05,0.00023252468535625
strains,B2,101,7.132644755625e-05,0.00023120726526875
strains,B2,102,6.7094508941875e-05,0.0002176920284
strains,B2,103,5.9289964623125e-05,0.00019397690614375
strains,B2,104,5.0955337955e-05,0.00016711305576875
strains,B2,105,4.220648705125e-05,0.0001381556591425
strains,B2,106,3.2581069123125e-05,0.000107604121315625
strains,B2,107,2.1275364683375e-05,7.3272708046875e-05
strains,B2,108,1.114392350275e-05,4.2947591696875e-05
strains,B2,109,5.1371587045e-06,2.1213270530625e-05
strains,B2,110,1.588562266025e-06,6.365958845625e-06
strains,B2,111,0,0
strains,B2,112,0,0
strains,B2,113,0,0
strains,B2,114,0,0
strains,B2,115,0,0
strains,B2,116,0,0
strains,B3,1,0.150970984025,0.488195264075
strains,B3,2,0.631658809875,1.81788698375
strains,B3,3,1.20458487975,3.676853870625
strains,B3,4,1.809727059,5.924273441
strains,B3,5,2.7236225368125,8.9526782881875
strains,B3,6,4.059902759125,13.372925263125
strains,B3,7,5.393956037125,17.763241815
strains,B3,8,6.407219139625,21.03717736
strains,B3,9,7.5556656978125,24.787782165
strains,B3,10,8.736813914,28.72011544875
strains,B3,11,9.470490211875,31.335182121875
strains,B3,12,9.336630077625,31.0561252425
strains,B3,13,8.362640879625,28.05221594
strains,B3,14,6.8021653395,22.75745616125
strains,B3,15,4.9306785268125,16.4606146925
strains,B3,16,3.298850231,10.894054233
strains,B3,17,1.99787240625,6.3324407803125
strains,B3,18,1.02253145735,3.2310481651875
