53843K79J 79J2019032917592359   NP  0000    0.00              39993   29.785  29.779  29.768   72   48          
53843K79J 79J2019032918000000   NP  0000    0.00              39993   29.785  29.779  29.768   71   48          
53843K79J 79J2019032918010001   NP  0000    0.00              39993   29.785  29.779  29.768   71   48          
53843K79J 79J2019032918020002   NP  0000    0.00              39993   29.785  29.779  29.768   71   48          
53843K79J 79J2019032918030003   NP  0000    0.00              39993   29.785  29.779  29.768   71   48          
53843K79J 79J2019032918040004   NP  0000    0.00              39993   29.785  29.779  29.768   71   48          
53843K79J 79J2019032918050005   NP  0000    0.00              39993   29.785  29.779  29.768   71   48          
53843K79J 79J2019032918060006   NP  0000    0.00              39993   29.785  29.779  29.768   71   48          
53843K79J 79J2019032918070007   NP  0000    0.00              39993   29.785  29.780  29.768   71   48          
53843K79J 79J2019032918080008   NP  0000    0.00              39993   29.785  29.780  29.768   71   48          
53843K79J 79J2019032918090009   NP  0000    0.00              39993   29.786  29.780  29.769   71   48          
53843K79J 79J2019032918100010   NP  0000    0.00              39993   29.785  29.779  29.768   71   48          
53843K79J 79J2019032918110011   NP  0000    0.00              39993   29.785  29.779  29.768   71   48          
53843K79J 79J2019032918120012   NP  0000    0.00              39993   29.785  29.779  29.768   71   48          
53843K79J 79J2019032918130013   NP  0000    0.00              39993   29.785  29.779  29.768   71   48          
53843K79J 79J2019032918140014   NP  0000    0.00              39993   29.785  29.779  29.768   70   48          
53843K79J 79J2019032918150015   NP  0000    0.00              39993   29.786  29.780  29.769   70   48          
53843K79J 79J2019032918160016   NP  0000    0.00              39993   29.786  29.780  29.769   70   48          
53843K79J 79J2019032918170017   NP  0000    0.00              39993   29.786  29.780  29.769   70   48          
53843K79J 79J2019032918180018   NP  0000    0.00              39993   29.786  29.781  29.769   70   48          
53843K79J 79J2019032918190019   NP  0000    0.00              39993   29.787  29.781  29.770   70   48          
53843K79J 79J2019032918200020   NP  0000    0.00              39993   29.787  29.781  29.770   70   48          
53843K79J 79J2019032918210021   NP  0000    0.00              39993   29.787  29.781  29.770   70   48          
53843K79J 79J2019032918220022   NP  0000    0.00              39993   29.788  29.782  29.771   70   48          
53843K79J 79J2019032918230023   NP  0000    0.00              39993   29.788  29.782  29.771   70   48          
53843K79J 79J2019032918240024   NP  0000    0.00              39993   29.788  29.782  29.771   70   48          
53843K79J 79J2019032918250025   NP  0000    0.00              39993   29.788  29.782  29.771   70   48          
53843K79J 79J2019032918260026   NP  0000    0.00              39993   29.789  29.783  29.772   70   48          
53843K79J 79J2019032918270027   NP  0000    0.00              39993   29.789  29.783  29.772   70   48          
53843K79J 79J2019032918280028   NP  0000    0.00              39993   29.790  29.784  29.772   70   48          
53843K79J 79J2019032918290029   NP  0000    0.00              39993   29.790  29.784  29.773   70   48          
53843K79J 79J2019032918300030   NP  0000    0.00              39993   29.791  29.785  29.774   70   48          
53843K79J 79J2019032918310031   NP  0000    0.00              39993   29.792  29.786  29.774   70   48          
53843K79J 79J2019032918320032   NP  0000    0.00              39993   29.792  29.786  29.775   70   48          
53843K79J 79J2019032918330033   NP  0000    0.00              39993   29.793  29.787  29.776   69   48          
53843K79J 79J2019032918340034   NP  0000    0.00              39993   29.793  29.787  29.776   69   48          
53843K79J 79J2019032918350035   NP  0000    0.00              39993   29.794  29.788  29.776   69   48          
53843K79J 79J2019032918360036   NP  0000    0.00              39993   29.794  29.788  29.777   69   48          
53843K79J 79J2019032918370037   NP  0000    0.00              39993   29.794  29.788  29.777   69   48          
53843K79J 79J2019032918380038   NP  0000    0.00              39993   29.795  29.788  29.777   69   48          
53843K79J 79J2019032918390039   NP  0000    0.00              39993   29.795  29.789  29.778   69   48          
53843K79J 79J2019032918400040   NP  0000    0.00              39992   29.795  29.789  29.778   69   48          
53843K79J 79J2019032918410041   NP  0000    0.00              39993   29.795  29.789  29.778   69   48          
53843K79J 79J2019032918420042   NP  0000    0.00              39992   29.795  29.789  29.778   69   48          
